Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E413.1B	48.718	-125.677	E413	BS14	NA	Line2	day	oversat_arg	surface	upper100	northBound	near	shelf	3.1	163.9	14	13.6	17.599	31.496	346.1	1880.1	2163.5	8.0813	194.361735	0.4	0.18	0	0.02	0.08	7.902	3.051104986	48.718	1	10850	2220	328	0	5020000	2740000	2580000	1000
E413.2B	48.718	-125.677	E413	BS14	NA	Line2	day	oversat_arg	surface	upper100	northBound	near	shelf	3.1	163.9	14	13.6	17.716	31.488	346.2	1880.1	2163.5	8.0813	194.361735	0.4	0.18	0	0.02	0.08	7.902	3.051104986	48.718	1	10850	2220	328	0	5020000	2740000	2580000	1000
E413.3B	48.718	-125.677	E413	BS14	NA	Line2	day	oversat_arg	surface	upper100	northBound	near	shelf	3.1	163.9	14	13.6	17.751	31.487	346.2	1880.1	2163.5	8.0813	194.361735	0.4	0.18	0	0.02	0.08	7.902	3.051104986	48.718	1	10850	2220	328	0	5020000	2740000	2580000	1000
E418.1B	48.81	-125.517	E418	BS6	NA	Line2	night	undersat_arg	pelagic	upper100	northBound	near	shelf	50.3	61.7	6	5.4	8.423	32.745	136.5	2172.4	2215.8	7.4424	57.40251867	47	2.29	27.9	0.25	0.63	23.021	0.857537617	48.81	NA	NA	NA	NA	NA	NA	NA	NA	1000
E418.2T	48.81	-125.517	E418	BS6	NA	Line2	night	undersat_arg	pelagic	upper100	northBound	near	shelf	50.7	61.3	6	5.4	8.404	32.756	136.5	2172.4	2215.8	7.4424	57.40251867	47	2.29	27.9	0.25	0.63	23.021	0.857537617	48.81	NA	494.5	960	118	0	1980000	1280000	682000	1000
E418.3T	48.81	-125.517	E418	BS6	NA	Line2	night	undersat_arg	pelagic	upper100	northBound	near	shelf	50.7	61.3	6	5.4	8.404	32.756	136.5	2172.4	2215.8	7.4424	57.40251867	47	2.29	27.9	0.25	0.63	23.021	0.857537617	48.81	NA	494.5	960	118	0	1980000	1280000	682000	1000
E419.1B	48.811	-125.517	E419	BS6	NA	Line2	night	oversat_arg	surface	upper100	northBound	near	shelf	3.5	108.5	6	5.7	16.063	31.021	380.7	1827.5	2125.6	8.1103	188.3367524	0.6	0.16	0	0.02	0.06	10.514	3.195890731	48.811	5.5	NA	NA	NA	NA	NA	NA	NA	1000
E419.2B	48.811	-125.517	E419	BS6	NA	Line2	night	oversat_arg	surface	upper100	northBound	near	shelf	3.4	108.6	6	5.7	16.123	31.015	380.8	1827.5	2125.6	8.1103	188.3367524	0.6	0.16	0	0.02	0.06	10.514	3.195890731	48.811	5.5	24700	11400	1340	0	9290000	5540000	2720000	1000
E419.3B	48.811	-125.517	E419	BS6	NA	Line2	night	oversat_arg	surface	upper100	northBound	near	shelf	3.2	108.8	6	5.7	16.126	31.015	380.8	1827.5	2125.6	8.1103	188.3367524	0.6	0.16	0	0.02	0.06	10.514	3.195890731	48.811	5.5	NA	NA	NA	NA	NA	NA	NA	1000
E423	48.865	-125.425	E423	BS2	NA	Line2	day	undersat_arg	benthic	upper100	northBound	near	shelf	43.5	10.5	2	0.7	9.224	32.359	148.2	2148	2205.5	7.5011	64.76379116	42.9	2.23	19.2	0.34	4.52	30.182	0.954676231	48.865	NA	432	921	247	0	1730000	1040000	583000	1000
E424	48.865	-125.425	E424	BS2	NA	Line2	day	undersat_arg	pelagic	upper100	northBound	near	shelf	20.5	33.5	2	0.8	9.83	32.195	187.7	2117.1	2198.8	7.5684	72.31976412	38.9	1.98	19.2	0.33	2.59	31.285	1.137430828	48.865	NA	NA	NA	NA	NA	NA	NA	NA	1000
E425	48.865	-125.425	E425	BS2	NA	Line2	day	oversat_arg	surface	upper100	northBound	near	shelf	3.3	50.7	2	0.8	16.577	29.785	346.3	1828.2	2072	8.0419	150.5299182	1.9	0.17	0	0.06	0.11	10.258	2.669807654	48.865	6.1	22000	7830	2330	0	10000000	6100000	2770000	1000
E427	48.361	-125.22	E427	JF20	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	170.4	10.6	20	4.1	6.278	33.958	51.6	2282.2	2279.7	7.2941	45.22458568	64.8	2.81	35.8	0.2	0.21	35.885	0.59889189	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
E428	48.361	-125.22	E428	JF20	NA	Line3	day	oversat_arg	pelagic	deep	OCNMS	offshore	shelf	149.1	31.9	20	4.1	6.468	33.922	50.7	2279.8	NA	7.2855	43.95979118	63.7	2.79	35.8	0.14	0.04	24.042	NA	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
E429	48.361	-125.22	E429	JF20	NA	Line3	day	oversat_arg	pelagic	upper100	OCNMS	offshore	shelf	99.1	81.9	20	4.2	6.521	33.91	41	2288	NA	7.2576	40.74043879	66.3	2.9	36.3	0.08	0.04	22.653	NA	48.361	NA	NA	NA	NA	NA	NA	NA	NA	1000
E430	48.362	-125.22	E430	JF20	NA	Line3	day	oversat_arg	surface	upper100	OCNMS	offshore	shelf	3.3	177.7	20	4.5	12.821	32.111	379	1950.6	2210.1	8.0096	175.0592586	8.4	0.45	2.3	0.13	0.55	15.36	2.777531664	48.362	NA	NA	NA	NA	NA	NA	NA	NA	1000
E431	48.37	-124.949	E431	JF9	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	near	shelf	108	10	9	6.5	6.61	33.868	55.5	2275.7	2269.8	7.2924	44.34218744	61	2.75	35.7	0.08	0.03	25.432	0.590296179	48.37	NA	NA	NA	NA	NA	NA	NA	NA	1000
E432	48.37	-124.949	E432	JF9	NA	Line3	day	oversat_arg	pelagic	upper100	OCNMS	near	shelf	99.2	18.8	9	6.5	6.622	33.863	56.4	2273.5	NA	7.2934	43.34501402	60.9	2.75	35.7	0.08	0.03	25.329	NA	48.37	NA	NA	NA	NA	NA	NA	NA	NA	1000
E433	48.37	-124.95	E433	JF9	NA	Line3	day	oversat_arg	pelagic	upper100	OCNMS	near	shelf	49.8	68.2	9	6.7	7.738	33.012	132	2179.2	NA	7.4228	55.60924892	38.5	2.2	27.3	0.05	0.03	14.227	NA	48.37	NA	NA	NA	NA	NA	NA	NA	NA	1000
E434	48.37	-124.95	E434	JF9	NA	Line3	day	oversat_arg	surface	upper100	OCNMS	near	shelf	3.4	114.6	9	6.9	13.103	31.715	335.5	1957.2	2186.2	7.9635	NA	15.5	0.72	5.3	0.21	0.54	16	2.48324475	48.37	4.3	NA	NA	NA	NA	NA	NA	NA	1000
E435	48.37	-124.791	E435	JF2_5	NA	Line3	day	undersat_arg	benthic	upper100	OCNMS	near	shelf	67.3	9.7	2.5	8.3	6.951	33.878	82.8	2246	2265.4	7.3547	50.60788907	51.9	2.52	32.7	0.22	0.43	29.234	0.720115683	48.37	NA	NA	NA	NA	NA	NA	NA	NA	1000
E436	48.37	-124.791	E436	JF2_5	NA	Line3	day	oversat_arg	pelagic	upper100	OCNMS	near	shelf	39.5	37.5	2.5	8.4	6.957	33.83	82.5	2246.9	NA	7.354	50.10349949	52.6	2.54	32.8	0.22	0.41	26.8	NA	48.37	NA	NA	NA	NA	NA	NA	NA	NA	1000
E437	48.37	-124.791	E437	JF2_5	NA	Line3	day	undersat_arg	surface	upper100	OCNMS	near	shelf	3.1	73.9	2.5	8.5	8.236	33.307	124.5	2203.9	2242	7.4176	56.03865282	49.5	2.36	29.8	0.26	0.4	26.992	0.839055538	48.37	1.8	NA	NA	NA	NA	NA	NA	NA	1000
E438	48.131	-125.175	E438	JF23	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	249.4	10.6	23	11	6.426	33.985	69.3	2263.5	2277.9	7.3433	49.28940129	60.3	2.63	35.2	0.08	0.03	12.952	0.66859543	48.131	NA	NA	NA	NA	NA	NA	NA	NA	1000
E440	48.131	-125.175	E440	JF23	NA	Line3	day	undersat_arg	pelagic	upper100	OCNMS	offshore	shelf	99.8	160.2	23	11.2	6.994	33.9	92.3	2236.7	2265.5	7.3886	51.940556	49.3	2.4	31.9	0.11	0.1	19.312	0.767403034	48.131	NA	NA	NA	NA	NA	NA	NA	NA	1000
E441	48.131	-125.174	E441	JF23	NA	Line3	day	oversat_arg	surface	upper100	OCNMS	offshore	shelf	3	257	23	11.5	14.959	32.078	473.3	1790.2	2209.4	8.2812	285.5527211	0.8	0.25	0	0.05	0.03	14.952	4.413479415	48.131	16.2	NA	NA	NA	NA	NA	NA	NA	1000
E442	47.959	-125.333	E442	JF35	NA	Line3	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	492	11	35	14.4	5.433	34.07	42.6	2299.3	2299.6	7.3023	46.24393872	78.9	2.93	39	0.05	0.02	24.458	0.572432695	47.959	NA	NA	NA	NA	NA	NA	NA	NA	1000
E444	47.96	-125.334	E444	JF35	NA	Line3	day	undersat_arg	pelagic	upper100	OCNMS	offshore	shelf	99.8	403.2	35	14.8	7.547	33.744	133.3	2200.1	2247	7.4583	63.01018075	37.3	2.1	27.7	0.05	0.02	3.508	0.873407647	47.96	NA	NA	NA	NA	NA	NA	NA	NA	1000
E445	47.961	-125.333	E445	JF35	NA	Line3	day	oversat_arg	surface	upper100	OCNMS	offshore	shelf	3.4	499.6	35	15.2	14.443	31.533	374.5	1872.7	2175.9	8.0984	209.8019076	0.6	0.2	0	0.06	0.03	14.589	3.232193882	47.961	8.7	NA	NA	NA	NA	NA	NA	NA	1000
E446.1B.PCR1	47.954	-124.907	E446	ChaBa	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	77.1	9.9	12	5	7.326	33.725	75.7	2246.1	2255.2	7.3319	47.36849361	53.7	2.56	31.7	0.26	0.96	263.747	0.664148655	47.954	1.3	NA	NA	NA	NA	NA	NA	NA	1000
E446.2B.PCR1	47.954	-124.907	E446	ChaBa	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	76.2	10.8	12	5	7.347	33.719	75.7	2246.1	2255.2	7.3319	47.36849361	53.7	2.56	31.7	0.26	0.96	263.747	0.664148655	47.954	1.3	1730	3270	321	0	1570000	1080000	317000	1000
E446.3B.PCR1	47.954	-124.907	E446	ChaBa	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	76.5	10.5	12	5	7.338	33.722	75.7	2246.1	2255.2	7.3319	47.36849361	53.7	2.56	31.7	0.26	0.96	263.747	0.664148655	47.954	1.3	NA	NA	NA	NA	NA	NA	NA	1000
E447.1B.PCR1	47.954	-124.907	E447	ChaBa	NA	Line0	night	oversat_arg	pelagic	upper100	OCNMS	near	shelf	10.8	76.2	12	5.3	15.44	31.775	278.5	1940.5	2165.3	7.952	153.2660669	6.7	0.4	0.3	0.05	0.19	32.6	2.459277985	47.954	NA	NA	NA	NA	NA	NA	NA	NA	1000
E447.2B.PCR1	47.954	-124.907	E447	ChaBa	NA	Line0	night	oversat_arg	pelagic	upper100	OCNMS	near	shelf	10.8	76.2	12	5.3	15.477	31.772	278.5	1940.5	2165.3	7.952	153.2660669	6.7	0.4	0.3	0.05	0.19	32.6	2.459277985	47.954	NA	NA	NA	NA	NA	NA	NA	NA	1000
E447.3B.PCR1	47.954	-124.907	E447	ChaBa	NA	Line0	night	oversat_arg	pelagic	upper100	OCNMS	near	shelf	10.8	76.2	12	5.3	15.449	31.775	278.5	1946.7	2164.6	7.952	153.2660669	6.7	0.4	0.3	0.05	0.19	32.597	2.392537378	47.954	NA	NA	NA	NA	NA	NA	NA	NA	1000
E448.1B.PCR1	47.954	-124.907	E448	ChaBa	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	3.3	83.7	12	5.3	15.506	31.77	278.2	1930.9	2162.2	7.9703	159.2875546	5.7	0.33	0	0.03	0.13	32.216	2.524847999	47.954	0.8	281500	16700	459	39.1	6080000	2870000	4840000	1000
E448.2B.PCR1	47.954	-124.907	E448	ChaBa	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	2.9	84.1	12	5.3	15.502	31.77	278.2	1930.9	2162.2	7.9703	159.2875546	5.7	0.33	0	0.03	0.13	32.216	2.524847999	47.954	0.8	NA	NA	NA	NA	NA	NA	NA	1000
E448.3B.PCR1	47.954	-124.907	E448	ChaBa	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	3.1	83.9	12	5.3	15.496	31.771	278.2	1930.9	2162.2	7.9703	159.2875546	5.7	0.33	0	0.03	0.13	32.216	2.524847999	47.954	0.8	NA	NA	NA	NA	NA	NA	NA	1000
E449.1B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	25.7	10.3	3	7.4	8.269	33.447	50.3	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	NA	NA	NA	NA	NA	NA	NA	1000
E449.2B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	25.3	10.7	3	7.4	8.274	33.443	50.3	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	13200	8360	796	0	3900000	2270000	1390000	1000
E449.3B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	26	10	3	7.4	8.265	33.452	48.5	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	NA	NA	NA	NA	NA	NA	NA	1000
E450.1B.PCR1	47.946	-124.746	E450	Sokul	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	3.1	32.9	3	7.6	16.378	32.069	418.5	1738.4	2200.8	8.3426	210.0089953	0.4	0.1	0	0.04	0.06	12.261	4.876946617	47.946	NA	82450	7020	2000	0	8060000	4740000	2520000	1000
E450.2B.PCR1	47.946	-124.746	E450	Sokul	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	3.6	32.4	3	7.6	16.375	32.069	418.5	1738.4	2200.8	8.3426	210.0089953	0.4	0.1	0	0.04	0.06	12.261	4.876946617	47.946	6.7	NA	NA	NA	NA	NA	NA	NA	1000
E450.3B.PCR1	47.946	-124.746	E450	Sokul	NA	Line0	night	oversat_arg	surface	upper100	OCNMS	near	shelf	3.6	32.4	3	7.6	16.371	32.071	418.5	1738.4	2200.8	8.3426	210.0089953	0.4	0.1	0	0.04	0.06	12.261	4.876946617	47.946	NA	NA	NA	NA	NA	NA	NA	NA	1000
E451	47.68	-125.579	E451	JF54	NA	Line3	day	undersat_arg	benthic	deep	offshoreW	offshore	slope	1232.8	10.2	54	4	3.268	34.452	19.4	2380	2379.4	7.312	48.17089626	140.2	3.23	43.5	0.02	0.04	3.856	0.493220398	47.68	NA	NA	NA	NA	NA	NA	NA	NA	1000
E453	47.68	-125.577	E453	JF54	NA	Line3	day	undersat_arg	pelagic	upper100	offshoreW	offshore	slope	99.4	1143.6	54	4.6	7.623	33.051	200.1	2133.8	2213.1	7.5658	74.61412762	24.5	1.71	20.7	0.03	0.05	4.837	1.085900788	47.68	NA	NA	NA	NA	NA	NA	NA	NA	1000
E454	47.68	-125.576	E454	JF54	NA	Line3	day	oversat_arg	surface	upper100	offshoreW	offshore	slope	3.8	1239.2	54	5	16.546	31.893	259.9	1959.6	2158.2	7.9	140.2447236	2.1	0.42	0	0.01	0.05	4.242	2.219907107	47.68	0.2	NA	NA	NA	NA	NA	NA	NA	1000
E455	47.638	-124.487	E455	Kalaloch	NA	Line0	day	oversat_arg	benthic	upper100	OCNMS	near	shelf	14	10	5	9.3	12.333	32.278	410.1	1849.6	2209.6	8.1863	238.7920743	0.3	0.08	0	0.03	0.1	12.879	3.761332959	47.638	5.1	16950	5240	1390	0	6110000	4150000	1520000	1000
E458.1B	46.13	-124.909	E458	CR40	NA	Line5	night	undersat_arg	benthic	deep	southBound	offshore	slope	1288.1	9.9	40	6	3.04	34.481	25.4	2380.7	2386.7	7.3224	49.87872962	146.6	3.23	43.3	0.15	0.04	12.332	0.512115668	46.13	NA	NA	NA	NA	NA	NA	NA	NA	1000
E463	46.129	-124.906	E463	CR40	NA	Line5	night	undersat_arg	pelagic	deep	southBound	offshore	slope	100.7	1197.3	40	6.7	8.057	33.067	201	2124	2208.8	7.5852	78.35115638	21.5	1.64	18.9	0.16	0.02	5.171	1.127569073	46.129	NA	NA	NA	NA	NA	NA	NA	NA	1000
E464	46.129	-124.906	E464	CR40	NA	Line5	night	oversat_arg	pelagic	upper100	southBound	offshore	slope	45	1253	40	6.8	9.553	32.295	304.4	2005.9	2169.7	7.8155	121.5014746	3.8	0.73	2	0.24	0.1	NA	1.80165414	46.129	0.2	NA	NA	NA	NA	NA	NA	NA	1000
E465	46.129	-124.906	E465	CR40	NA	Line5	night	oversat_arg	pelagic	upper100	southBound	offshore	slope	10.4	1287.6	40	7	16.268	31.961	255.4	1966.9	NA	7.8888	127.1442859	0.9	0.44	0	0.14	0.16	3.288	NA	46.129	NA	NA	NA	NA	NA	NA	NA	NA	1000
E466.1B	46.129	-124.906	E466	CR40	NA	Line5	night	oversat_arg	surface	upper100	southBound	offshore	slope	3.1	1294.9	40	7	16.271	31.96	255.1	1968.5	2161	7.8906	138.8078707	0.9	0.45	0	0.14	0.2	3.368	2.158111793	46.129	0.9	NA	NA	NA	NA	NA	NA	NA	1000
E466.2B	46.129	-124.906	E466	CR40	NA	Line5	night	oversat_arg	surface	upper100	southBound	offshore	slope	3.3	1294.7	40	7	16.272	31.96	255.1	1968.5	2161	7.8906	138.8078707	0.9	0.45	0	0.14	0.2	3.368	2.158111793	46.129	0.9	NA	NA	NA	NA	NA	NA	NA	1000
E466.3B	46.129	-124.906	E466	CR40	NA	Line5	night	oversat_arg	surface	upper100	southBound	offshore	slope	3.8	1294.2	40	7	16.273	31.959	255.1	1968.5	2161	7.8906	138.8078707	0.9	0.45	0	0.14	0.2	3.368	2.158111793	46.129	0.9	NA	NA	NA	NA	NA	NA	NA	1000
E467	46.243	-124.118	E467	CR0	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	river	12.8	10.2	0	6	15.78	29.081	296.6	1816.5	2038.3	8.04	136.4775248	11.5	0.21	0	0.16	0.08	18.44	2.436463131	46.243	6.9	NA	NA	NA	NA	NA	NA	NA	1000
E469	46.245	-124.119	E469	CR0	NA	Line5	day	oversat_arg	surface	upper100	southBound	near	river	3.6	19.4	0	6.2	17.179	17.463	276.2	1473.7	1604.8	NA	NA	NA	NA	NA	NA	NA	98.407	1.385035111	46.245	10.3	NA	NA	NA	NA	NA	NA	NA	1000
E470	46.252	-124.003	E470	CR1	NA	Line5	day	oversat_arg	surface	upper100	southBound	near	river	2.9	21.1	1	7.4	20.006	4.572	257.6	1106.1	NA	7.7342	NA	121.7	0.67	5.3	0.29	2.01	96.661	NA	46.252	4.5	16850	23300	1980	57.4	4100000	1700000	1430000	750
E471	46.251	-124.003	E471	CR1	NA	Line5	day	undersat_arg	benthic	upper100	southBound	near	river	14.1	9.9	1	7.3	18.775	9.736	269.9	1272.5	1198	7.8126	NA	143.1	0.6	5.6	0.29	1.6	101.507	0.127096896	46.251	4.9	NA	NA	NA	NA	NA	NA	NA	750
E472	46.193	-123.914	E472	CR2	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	river	10.6	10.4	2	9.8	20.082	5.311	272.2	1069	NA	7.6363	NA	149.1	0.53	4.9	0.3	1.24	193.64	NA	46.193	NA	NA	NA	NA	NA	NA	NA	NA	1000
E474	46.193	-123.913	E474	CR2	NA	Line5	day	oversat_arg	surface	upper100	southBound	near	river	2.8	18.2	2	10	20.877	2.752	273.7	1054.7	NA	7.6471	NA	152.5	0.53	4.8	0.32	1.13	232.657	NA	46.193	NA	17450	32400	3590	35.4	4190000	1600000	1500000	1000
E475.PCR1	46.131	-124.031	E475	CR3	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	shelf	19.7	10.3	3	12.3	14.011	31.508	323.9	1904.1	2168.5	8.0395	172.1616372	0.7	0.29	0	0.16	0.15	18.547	2.829170975	46.131	10.2	30600	2930	1170	23.2	1800000	790000	764000	1000
E476	46.131	-124.031	E476	CR3	NA	Line5	day	oversat_arg	pelagic	upper100	southBound	near	shelf	14	16	3	12.3	15.264	30.511	336.8	1842.7	2122.6	8.0928	186.90687	0.5	0.17	0	0.16	0.04	12.055	3.009886258	46.131	NA	NA	NA	NA	NA	NA	NA	NA	1000
E477	46.131	-124.031	E477	CR3	NA	Line5	day	oversat_arg	pelagic	upper100	southBound	near	shelf	9.7	20.3	3	12.4	16.483	29.239	302.9	1820.3	2067.3	8.0695	152.5776045	9.4	0.11	0	0.16	0.03	9.658	2.709382793	46.131	NA	227500	11100	799	9.41	5010000	1880000	4110000	1000
